ut	up	gi	mi	sg	dc
51.45	73.60179901	6.700000167	1672.126495	89.31786346	1
24.15	26.48579979	34.70000029	405.6999969	24.33777046	0
45.75	33.43220139	38.19999993	500.0000038	46.62456131	0
9.46	37.06340027	60.19999981	47.99999905	34.55641174	0
34.40	65.90399933	29.30000126	567.2683182	39.40272141	0
45.82	69.75779724	44.29999888	761.0000153	64.16871643	1
4.19	14.77600002	57.70000219	126.7999973	23.05607033	0
80.61	68.5059967	33.50000083	721.6851273	56.8830986	1
40.42	59.16220093	15.09999931	788.7000046	63.86677933	1
58.53	79.40779877	20.90000063	1751.997208	85.76290894	1
2.11	25.86160088	58.99999738	125	21.89712906	0
89.08	81.86060333	29.8999995	1774.118149	76.56664276	1
3.29	24.8409996	59.60000157	21.29999995	26.39562035	0
63.28	92.34739685	35.19999981	953.5561981	50.65076065	1
78.13	93.03340149	44.69999969	719.5657883	48.40409851	0
10.19	31.18079948	76.89999938	143.6000004	26.28026009	0
